Date,GA confirmed,HI confirmed,GA deaths,HI deaths,daily_GA_confirmed,daily_HI_confirmed,daily_GA_deaths,daily_HI_deaths
2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-31,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-01,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-02,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-03,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-04,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-05,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-06,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-07,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-08,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-09,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-10,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-11,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-12,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-13,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-14,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-15,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-16,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-17,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-18,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-19,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-20,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-21,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-22,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-23,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-24,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-25,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-26,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-27,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-28,0,0,0,0,0.0,0.0,0.0,0.0
2020-02-29,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-01,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-02,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-03,2,0,0,0,2.0,0.0,0.0,0.0
2020-03-04,2,0,0,0,0.0,0.0,0.0,0.0
2020-03-05,2,0,0,0,0.0,0.0,0.0,0.0
2020-03-06,3,0,0,0,1.0,0.0,0.0,0.0
2020-03-07,5,1,0,0,2.0,1.0,0.0,0.0
2020-03-08,5,1,0,0,0.0,0.0,0.0,0.0
2020-03-09,17,2,0,0,12.0,1.0,0.0,0.0
2020-03-10,19,2,0,0,2.0,0.0,0.0,0.0
2020-03-11,32,2,0,0,13.0,0.0,0.0,0.0
2020-03-12,43,2,1,0,11.0,0.0,1.0,0.0
2020-03-13,43,2,1,0,0.0,0.0,0.0,0.0
2020-03-14,66,3,1,0,23.0,1.0,0.0,0.0
2020-03-15,98,6,1,0,32.0,3.0,0.0,0.0
2020-03-16,120,9,1,0,22.0,3.0,0.0,0.0
2020-03-17,145,12,1,0,25.0,3.0,0.0,0.0
2020-03-18,197,15,1,0,52.0,3.0,0.0,0.0
2020-03-19,283,25,10,0,86.0,10.0,9.0,0.0
2020-03-20,483,35,14,0,200.0,10.0,4.0,0.0
2020-03-21,555,45,20,0,72.0,10.0,6.0,0.0
2020-03-22,618,53,20,0,63.0,8.0,0.0,0.0
2020-03-23,797,65,26,0,179.0,12.0,6.0,0.0
2020-03-24,1090,84,37,0,293.0,19.0,11.0,0.0
2020-03-25,1383,101,46,0,293.0,17.0,9.0,0.0
2020-03-26,1633,106,55,0,250.0,5.0,9.0,0.0
2020-03-27,2197,118,65,0,564.0,12.0,10.0,0.0
2020-03-28,2445,151,78,0,248.0,33.0,13.0,0.0
2020-03-29,2682,173,82,0,237.0,22.0,4.0,0.0
2020-03-30,3024,202,102,0,342.0,29.0,20.0,0.0
2020-03-31,4110,224,125,1,1086.0,22.0,23.0,1.0
2020-04-01,4744,258,154,2,634.0,34.0,29.0,1.0
2020-04-02,5440,285,175,2,696.0,27.0,21.0,0.0
2020-04-03,5959,319,197,3,519.0,34.0,22.0,1.0
2020-04-04,6373,351,207,3,414.0,32.0,10.0,0.0
2020-04-05,6729,371,219,4,356.0,20.0,12.0,1.0
2020-04-06,7548,387,292,5,819.0,16.0,73.0,1.0
2020-04-07,9128,410,342,6,1580.0,23.0,50.0,1.0
2020-04-08,10198,435,369,6,1070.0,25.0,27.0,0.0
2020-04-09,10880,442,407,6,682.0,7.0,38.0,0.0
2020-04-10,11856,465,419,8,976.0,23.0,12.0,2.0
2020-04-11,12261,486,430,8,405.0,21.0,11.0,0.0
2020-04-12,12550,498,440,9,289.0,12.0,10.0,1.0
2020-04-13,13621,503,440,9,1071.0,5.0,0.0,0.0
2020-04-14,14567,516,521,9,946.0,13.0,81.0,0.0
2020-04-15,15120,529,573,9,553.0,13.0,52.0,0.0
2020-04-16,16144,540,611,9,1024.0,11.0,38.0,0.0
2020-04-17,17152,552,665,9,1008.0,12.0,54.0,0.0
2020-04-18,17580,573,673,9,428.0,21.0,8.0,0.0
2020-04-19,18216,579,687,9,636.0,6.0,14.0,0.0
2020-04-20,19084,583,764,9,868.0,4.0,77.0,0.0
2020-04-21,19662,585,812,9,578.0,2.0,48.0,0.0
2020-04-22,20493,591,841,9,831.0,6.0,29.0,0.0
2020-04-23,21476,595,875,9,983.0,4.0,34.0,0.0
2020-04-24,22014,599,895,9,538.0,4.0,20.0,0.0
2020-04-25,22566,603,902,9,552.0,4.0,7.0,0.0
2020-04-26,22830,605,912,9,264.0,2.0,10.0,0.0
2020-04-27,23592,606,988,9,762.0,1.0,76.0,0.0
2020-04-28,24217,606,1029,9,625.0,0.0,41.0,0.0
2020-04-30,25832,617,1125,16,704.0,5.0,37.0,0.0
2020-05-01,26805,618,1158,16,973.0,1.0,33.0,0.0
2020-05-02,27627,618,1165,16,822.0,0.0,7.0,0.0
2020-05-03,27928,619,1171,17,301.0,1.0,6.0,1.0
2020-05-04,28709,619,1233,17,781.0,0.0,62.0,0.0
2020-05-05,29196,624,1283,17,487.0,5.0,50.0,0.0
2020-05-06,30175,625,1319,17,979.0,1.0,36.0,0.0
2020-05-07,30708,627,1343,17,533.0,2.0,24.0,0.0
2020-05-08,31292,627,1388,17,584.0,0.0,45.0,0.0
2020-05-09,31823,630,1390,17,531.0,3.0,2.0,0.0
2020-05-10,32658,631,1392,17,835.0,1.0,2.0,0.0
2020-05-11,33268,633,1444,17,610.0,2.0,52.0,0.0
2020-05-12,33680,634,1481,17,412.0,1.0,37.0,0.0
2020-05-13,34125,637,1502,17,445.0,3.0,21.0,0.0
2020-05-14,34587,637,1534,17,462.0,0.0,32.0,0.0
2020-05-15,35077,637,1574,17,490.0,0.0,40.0,0.0
2020-05-16,35349,637,1584,17,272.0,0.0,10.0,0.0
2020-05-17,35528,638,1593,17,179.0,1.0,9.0,0.0
2020-05-18,36071,638,1633,17,543.0,0.0,40.0,0.0
2020-05-19,36706,639,1668,17,635.0,1.0,35.0,0.0
2020-05-20,37401,640,1689,17,695.0,1.0,21.0,0.0
2020-05-21,38234,642,1769,17,833.0,2.0,80.0,0.0
2020-05-22,39021,642,1803,17,787.0,0.0,34.0,0.0
2020-05-23,39572,643,1818,17,551.0,1.0,15.0,0.0
2020-05-24,40362,643,1823,17,790.0,0.0,5.0,0.0
2020-05-25,41187,643,1846,17,825.0,0.0,23.0,0.0
2020-05-26,42295,643,1894,17,1108.0,0.0,48.0,0.0
2020-05-27,44588,643,1934,17,2293.0,0.0,40.0,0.0
2020-05-28,45265,646,1965,17,677.0,3.0,31.0,0.0
2020-05-29,45855,648,1997,17,590.0,2.0,32.0,0.0
2020-05-30,46332,651,1998,17,477.0,3.0,1.0,0.0
2020-05-31,47079,651,2038,17,747.0,0.0,40.0,0.0
2020-06-01,47889,651,2077,17,810.0,0.0,39.0,0.0
2020-06-02,48394,652,2103,17,505.0,1.0,26.0,0.0
2020-06-03,49011,653,2126,17,617.0,1.0,23.0,0.0
2020-06-04,49987,655,2151,17,976.0,2.0,25.0,0.0
2020-06-05,50748,664,2160,17,761.0,9.0,9.0,0.0
2020-06-06,51343,673,2171,17,595.0,9.0,11.0,0.0
2020-06-07,51905,675,2174,17,562.0,2.0,3.0,0.0
2020-06-08,52773,676,2266,17,868.0,1.0,92.0,0.0
2020-06-09,53422,682,2282,17,649.0,6.0,16.0,0.0
2020-06-10,54115,685,2344,17,693.0,3.0,62.0,0.0
2020-06-11,55143,692,2386,17,1028.0,7.0,42.0,0.0
2020-06-12,56044,706,2418,17,901.0,14.0,32.0,0.0
2020-06-13,56931,723,2440,17,887.0,17.0,22.0,0.0
2020-06-14,57743,728,2445,17,812.0,5.0,5.0,0.0
2020-06-15,58572,736,2500,17,829.0,8.0,55.0,0.0
2020-06-16,59218,740,2531,17,646.0,4.0,31.0,0.0
2020-06-17,60245,744,2578,17,1027.0,4.0,47.0,0.0
2020-06-18,61229,762,2597,17,984.0,18.0,19.0,0.0
2020-06-19,62339,789,2631,17,1110.0,27.0,34.0,0.0
2020-06-20,63926,803,2632,17,1587.0,14.0,1.0,0.0
2020-06-21,64820,814,2632,17,894.0,11.0,0.0,0.0
2020-06-22,66273,816,2648,17,1453.0,2.0,16.0,0.0
2020-06-23,67939,819,2689,17,1666.0,3.0,41.0,0.0
2020-06-24,69661,835,2717,17,1722.0,16.0,28.0,0.0
2020-06-25,71492,850,2752,17,1831.0,15.0,35.0,0.0
2020-06-26,73461,866,2775,17,1969.0,16.0,23.0,0.0
2020-06-27,75262,856,2777,18,1801.0,-10.0,2.0,1.0
2020-06-28,77318,883,2779,18,2056.0,27.0,2.0,0.0
2020-06-29,80161,884,2796,18,2843.0,1.0,17.0,0.0
2020-06-30,82093,917,2809,18,1932.0,33.0,13.0,0.0
2020-07-01,84967,909,2834,18,2874.0,-8.0,25.0,0.0
2020-07-02,88481,929,2853,18,3514.0,20.0,19.0,0.0
2020-07-03,91046,974,2857,19,2565.0,45.0,4.0,1.0
2020-07-04,93496,981,2860,19,2450.0,7.0,3.0,0.0
2020-07-05,95657,1005,2861,19,2161.0,24.0,1.0,0.0
2020-07-06,97731,1030,2885,19,2074.0,25.0,24.0,0.0
2020-07-07,101123,1053,2905,19,3392.0,23.0,20.0,0.0
2020-07-08,104061,1094,2925,19,2938.0,41.0,20.0,0.0
2020-07-09,108318,1130,2939,19,4257.0,36.0,14.0,0.0
2020-07-10,112258,1158,2993,19,3940.0,28.0,54.0,0.0
2020-07-11,114675,1200,2997,19,2417.0,42.0,4.0,0.0
